t,ytt,xtt,xtt+ytt,xt,x,f,
30.26,-37,171.36557491427817,134.36557491427817,4.283365482820179,-3.464131097893339,-6.928262195786678,
30.28,-35.2,163.65335976825816,128.45335976825817,7.633554829645543,-3.3449618947686814,-6.689923789537363,
30.3,-24.6,144.74549606725967,120.14549606725967,10.71754338800072,-3.161450912592219,-6.322901825184438,
30.32,-21.8,131.4105773533648,109.6105773533648,13.479104122206966,-2.919484437490142,-5.838968874980284,
30.34,-26.7,123.72772837635165,97.02772837635165,16.03048717950413,-2.624388524473031,-5.248777048946062,
30.36,-42.8,125.23299526343081,82.43299526343081,18.520094415901955,-2.27888270851897,-4.55776541703794,
30.38,-53.4,119.35222847008792,65.95222847008793,20.965946653237143,-1.8840222978275791,-3.7680445956551583,
30.4,-57.1,104.84071601510593,47.740716015105924,23.20787609808908,-1.442284070314317,-2.884568140628634,
30.42,-49.6,77.74071726394683,28.140717263946833,25.03369043087961,-0.95986840502463,-1.91973681004926,
30.44,-34.9,42.51355347273255,7.613553472732555,26.236233138246405,-0.4471691693333699,-0.8943383386667398,
30.46,-16,2.7320843072516925,-13.267915692748307,26.688689516046246,0.08208005720955663,0.16416011441911327,
30.48,-6.5,-27.52168345858453,-34.02168345858453,26.440793524532918,0.6133748876153483,1.2267497752306966,
30.5,-15.8,-38.55835205948227,-54.35835205948227,25.77999316935225,1.1355827545542,2.2711655091084,
30.52,-29.1,-44.95005727345983,-74.05005727345983,24.944909076022828,1.642831777007951,3.285663554015902,
30.54,-29.5,-63.32111599660689,-92.82111599660689,23.862197343322162,2.130902841201401,4.261805682402802,
30.56,-3.3,-106.83210134717682,-110.13210134717681,22.160665169884325,2.5911314663334655,5.182262932666931,
30.58,35,-160.31552929912243,-125.31552929912243,19.489188863421333,3.0076300066665222,6.0152600133330445,
30.6,36.5,-174.58568010405645,-138.08568010405645,16.140176769389544,3.363923662994631,6.727847325989262,
30.62,15.1,-163.40125094244348,-148.3012509424435,12.760307458924546,3.652928505277772,7.305857010555544,
30.64,-11.5,-144.59795373462694,-156.09795373462694,9.680315412153842,3.877334733988556,7.754669467977112,
30.66,-32.9,-128.80281379698428,-161.7028137969843,6.9463077368377295,4.043600965478472,8.087201930956944,
30.68,-21.6,-143.3959921538562,-164.9959921538562,4.224319677329325,4.155307239620143,8.310614479240286,
30.7,3.9,-169.6811984413186,-165.7811984413186,1.0935477713775765,4.208485914107212,8.416971828214423,
30.72,23.2,-187.01784091641395,-163.81784091641396,-2.473442622199749,4.19468696559899,8.38937393119798,
30.74,33.5,-192.42379907214706,-158.92379907214706,-6.267859022085359,4.10727394915614,8.21454789831228,
30.76,37,-188.06936459493625,-151.06936459493625,-10.072790658756192,3.943867452347724,7.887734904695448,
30.78,31.2,-171.62681871329957,-140.42681871329958,-13.669752491838551,3.7064420208417768,7.4128840416835535,
30.8,13.8,-141.17045560981055,-127.37045560981055,-16.797725235069652,3.401767243572695,6.80353448714539,
30.82,3.9,-116.13231225265496,-112.23231225265495,-19.370752913694307,3.040082462085055,6.08016492417011,
30.84,20.1,-115.23492805529946,-95.13492805529947,-21.68442531677385,2.6295306797803737,5.259061359560747,
30.86,27.7,-104.07331943615002,-76.37331943615001,-23.877507791688345,2.1739113486957518,4.3478226973915035,
30.88,21.1,-77.35281485078112,-56.252814850781114,-25.691769134557656,1.6782185794332918,3.3564371588665836,
30.9,1.9,-37.177060865353404,-35.277060865353405,-26.837067891719002,1.1529302091705251,2.3058604183410503,
30.92,-18.2,4.1788671697003155,-14.021132830299685,-27.167049828675534,0.6128890319665797,1.2257780639331595,
30.94,-13,20.190845749170087,7.190845749170087,-26.92335269948683,0.07198500668495612,0.14397001336991225,
30.96,8.9,19.268937320477793,28.168937320477795,-26.52875486879035,-0.4625360689978157,-0.9250721379956314,
30.98,28.7,20.111919500837192,48.81191950083719,-26.1349463005772,-0.9891730806914912,-1.9783461613829825,
31,51.8,17.374427542635278,69.17442754263527,-25.760082830142476,-1.5081233719986882,-3.0162467439973764,
31.02,74.2,15.074381979737824,89.27438197973783,-25.435594734918745,-2.0200801476493004,-4.040160295298601,
31.04,83.7,25.290110699803463,108.99011069980347,-25.031949808123333,-2.524755593079721,-5.049511186159442,
31.06,79.5,48.56710486613413,128.06710486613412,-24.293377652463956,-3.018008867685594,-6.036017735371188,
31.08,72,74.1815927298011,146.18159272980108,-23.065890676504605,-3.49160155097528,-6.98320310195056,
31.1,75.3,87.79218558526748,163.0921855852675,-21.44615289335392,-3.9367219866738647,-7.8734439733477295,
31.12,86.6,92.02954734970481,178.6295473497048,-19.647935564004197,-4.347662871247446,-8.695325742494893,
31.14,96.9,95.78036779015063,192.68036779015063,-17.769836412605642,-4.721840591013545,-9.44368118202709,
31.16,96.9,108.17540370615527,205.07540370615527,-15.730278697642582,-5.056841742116027,-10.113683484232054,
31.18,84.2,131.33335841537522,215.53335841537523,-13.335191076427277,-5.347496439856726,-10.694992879713451,
31.2,64.2,159.48584539644855,223.68584539644854,-10.42699903830904,-5.5851183410040885,-11.170236682008177,
